Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,139654,-,-,-,37.89,-122.26,0,159,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2006,1,2,10,0,9.3,0.51,0.059,0.67,0,0,0,0,6,9.3,0,0,0,0,0.292,100,152.66,0.96,0.11,987,2,169,1.6,0,0,,,,,,,,,,,,,,,,
2006,1,2,10,30,9.4,0.51,0.059,0.67,0,0,0,0,6,9.4,0,0,0,0,0.294,100,147.14,0.96,0.11,987,2.1,162,1.6,0,0,,,,,,,,,,,,,,,,
2006,1,2,11,0,9.5,0.51,0.059,0.67,0,0,0,0,6,9.5,0,0,0,0,0.295,99.85,141.4,0.96,0.11,986,2.1,155,1.7,0,0,,,,,,,,,,,,,,,,
2006,1,2,11,30,9.6,0.51,0.059,0.67,0,0,0,0,9,9.5,0,0,0,0,0.297,99.18,135.54,0.96,0.11,986,2.1,152,1.7,0,0,,,,,,,,,,,,,,,,
2006,1,2,12,0,9.7,0.63,0.054,0.67,0,0,0,0,6,9.6,0,0,0,0,0.298,99.28,129.63,0.95,0.11,986,2.1,149,1.7,0,0,,,,,,,,,,,,,,,,
2006,1,2,12,30,9.7,0.63,0.054,0.67,0,0,0,0,6,9.6,0,0,0,0,0.299,99.18,123.72,0.95,0.11,985,2.2,141,1.5,0,0,,,,,,,,,,,,,,,,
2006,1,2,13,0,9.6,0.72,0.051,0.67,0,0,0,0,6,9.4,0,0,0,0,0.299,98.88,117.84,0.95,0.11,985,2.2,133,1.4,0,0,,,,,,,,,,,,,,,,
2006,1,2,13,30,9.5,0.72,0.051,0.67,0,0,0,0,6,9.4,0,0,0,0,0.3,99.55,112.02,0.94,0.11,985,2.2,111,1.4,0,0,,,,,,,,,,,,,,,,
2006,1,2,14,0,9.5,0.79,0.046,0.67,0,0,0,0,6,9.2,0,0,0,0,0.3,98.24,106.29,0.94,0.11,985,2.2,89,1.3,0,0,,,,,,,,,,,,,,,,
2006,1,2,14,30,9.4,0.79,0.046,0.67,0,0,0,0,6,9.2,0,0,0,0,0.299,98.9,100.69,0.95,0.11,985,2.2,75,1.5,0,0,,,,,,,,,,,,,,,,
2006,1,2,15,0,9.4,0.93,0.052,0.67,0,0,0,0,6,9.1,0,0,0,0,0.299,97.79,95.24,0.95,0.11,985,2.2,61,1.6,0,0,,,,,,,,,,,,,,,,
2006,1,2,15,30,9.5,0.93,0.052,0.67,0,0,0,7,6,9.1,0,0,7,0,0.298,97.14,89.51,0.95,0.11,985,2.2,54,1.9,0,0,,,,,,,,,,,,,,,,
2006,1,2,16,0,9.6,1,0.05,0.67,28,360,61,7,7,9.2,13,0,7,13,0.297,97.44,84.8,0.95,0.11,985,2.2,47,2.1,0,0,,,,,,,,,,,,,,,,
2006,1,2,16,30,9.8,1,0.05,0.67,43,541,136,0,6,9.2,7,0,0,7,0.297,96.15,80.13,0.95,0.11,985,2.1,40,2.5,0,0,,,,,,,,,,,,,,,,
2006,1,2,17,0,9.9,1.03,0.046,0.67,52,660,214,0,6,9.3,73,6,0,74,0.297,96.37,75.76,0.95,0.11,985,2.1,33,2.9,3.5954,2.7592,,,,,,,,,,,,,,,,
2006,1,2,17,30,10.1,1.03,0.046,0.67,59,732,287,0,6,9.4,5,0,0,5,0.296,95.1,71.79,0.96,0.11,985,2.1,27,3.3,0.2518,0.1945,,,,,,,,,,,,,,,,
2006,1,2,18,0,10.2,1.07,0.057,0.67,68,764,350,0,7,9.5,66,1,0,66,0.296,95.39,68.31,0.96,0.11,984,2.1,21,3.7,3.429,2.6606,,,,,,,,,,,,,,,,
2006,1,2,18,30,10.4,1.07,0.057,0.67,72,799,404,0,6,9.5,39,0,0,39,0.295,94.13,65.39,0.97,0.11,984,2.1,16,3.9,2.0742,1.6139,,,,,,,,,,,,,,,,
2006,1,2,19,0,10.5,1.08,0.066,0.67,78,811,445,0,6,9.3,26,0,0,26,0.294,92.51,63.12,0.97,0.11,984,2.1,11,4.1,1.4054,1.0955,,,,,,,,,,,,,,,,
2006,1,2,19,30,10.5,1.08,0.066,0.67,80,825,473,0,6,9.3,93,1,0,94,0.294,92.51,61.58,0.97,0.11,984,2.1,184,4.2,5.1327,4.005,,,,,,,,,,,,,,,,
2006,1,2,20,0,10.4,1.07,0.062,0.67,79,840,489,0,7,9.1,141,5,0,144,0.293,91.53,60.82,0.97,0.11,984,2,358,4.2,7.9,6.1673,,,,,,,,,,,,,,,,
2006,1,2,20,30,10.3,1.07,0.062,0.67,79,840,488,0,7,9.1,117,2,0,118,0.293,92.14,60.86,0.96,0.11,984,2,350,4.3,6.4721,5.0524,,,,,,,,,,,,,,,,
2006,1,2,21,0,10.1,1.04,0.07,0.67,81,821,470,0,7,9,144,7,0,147,0.294,92.75,61.72,0.96,0.11,985,2,342,4.4,8.0195,6.2571,,,,,,,,,,,,,,,,
2006,1,2,21,30,10.1,1.04,0.07,0.67,79,808,442,0,7,9,66,0,0,66,0.295,92.75,63.35,0.96,0.11,985,1.9,333,4.3,3.562,2.7761,,,,,,,,,,,,,,,,
2006,1,2,22,0,10.1,1.01,0.063,0.67,74,792,400,0,7,8.9,104,3,0,105,0.296,92.25,65.69,0.96,0.11,986,1.9,324,4.3,5.5716,4.3342,,,,,,,,,,,,,,,,
2006,1,2,22,30,10.2,1.01,0.063,0.67,69,755,344,0,7,8.9,100,3,0,101,0.298,91.73,68.68,0.95,0.11,987,1.9,314,4.1,5.2308,4.0571,,,,,,,,,,,,,,,,
2006,1,2,23,0,10.3,0.93,0.052,0.67,60,721,281,0,6,9.1,93,7,0,95,0.299,92.44,72.22,0.95,0.11,988,1.8,305,3.9,4.7654,3.6791,,,,,,,,,,,,,,,,
2006,1,2,23,30,10.2,0.93,0.052,0.67,53,644,206,7,6,9.1,38,0,7,38,0.301,93.15,76.24,0.95,0.11,989,1.8,298,3.6,1.8392,1.4103,,,,,,,,,,,,,,,,
2006,1,3,0,0,10.2,0.81,0.048,0.67,42,531,128,7,7,9.3,57,6,7,58,0.302,93.89,80.65,0.95,0.11,990,1.8,292,3.4,0,0,,,,,,,,,,,,,,,,
